ORIG NEW
1 1
2 2
3 3
4 4
5 5
6 6
7 7
8 8
9 9
10 10
11 11
12 12
13 13
14 14
15 15
16 16
17 17
18 18
19 19
20 20
21 21
22 22
23 23
24 24
25 25
26 26
27 27
28 28
29 29
30 30
31 31
32 32
33 33
34 34
35 35
36 36
37 37
38 38
39 39
40 -1
41 103
42 41
43 42
44 40
45 48
46 49
47 43
48 44
49 45
50 46
51 47
52 56
53 58
54 50
55 51
56 52
57 53
58 54
59 55
60 57
61 75
62 81
63 59
64 60
65 61
66 62
67 63
68 64
69 65
70 66
71 67
72 68
73 69
74 70
75 71
76 72
77 73
78 74
79 79
80 76
81 77
82 78
83 80
84 86
85 87
86 82
87 83
88 84
89 85
90 92
91 93
92 88
93 89
94 90
95 91
96 101
97 119
98 94
99 95
100 96
101 97
102 98
103 99
104 100
105 104
106 102
107 -1
108 117
109 105
110 106
111 107
112 108
113 109
114 110
115 111
116 112
117 113
118 114
119 115
120 116
121 118
122 126
123 -1
124 120
125 121
126 122
127 123
128 124
129 125
130 127
131 128
132 -1
