ORIG NEW
1 1
2 2
3 3
4 4
5 5
6 6
7 7
8 8
9 9
10 -1
11 13
12 -1
13 -1
14 -1
15 18
16 23
17 22
18 -1
19 -1
20 -1
21 -1
22 31
23 25
24 26
25 -1
26 -1
27 -1
28 -1
29 -1
30 37
31 46
32 32
33 -1
34 -1
35 53
36 39
37 -1
38 -1
39 -1
40 -1
41 64
42 -1
43 47
44 -1
45 41
46 42
47 -1
48 44
49 45
50 84
51 54
52 48
53 49
54 50
55 51
56 -1
57 111
58 59
59 -1
60 -1
61 -1
62 63
63 118
64 62
65 66
66 -1
67 65
68 -1
69 -1
70 -1
71 68
72 -1
73 77
74 78
75 -1
76 124
77 75
78 -1
79 85
80 88
81 87
82 -1
83 91
84 -1
85 -1
86 -1
87 96
88 -1
89 100
90 89
91 -1
92 103
93 -1
94 -1
95 -1
96 108
97 -1
98 -1
99 -1
100 -1
101 -1
102 116
103 -1
104 129
105 101
106 -1
107 121
108 -1
109 123
110 130
111 -1
112 131
113 134
114 141
115 142
116 104
117 133
118 149
