ORIG NEW
1 5
2 1
3 2
4 3
5 9
6 -1
7 -1
8 -1
9 16
10 18
11 -1
12 -1
13 13
14 -1
15 25
16 26
17 27
18 -1
19 30
20 31
21 17
22 -1
23 -1
24 -1
25 -1
26 37
27 38
28 20
29 -1
30 -1
31 -1
32 -1
33 23
34 -1
35 56
36 46
37 -1
38 59
39 47
40 32
41 -1
42 -1
43 -1
44 57
45 60
46 39
47 -1
48 -1
49 -1
50 -1
51 -1
52 65
53 66
54 41
55 -1
56 -1
57 -1
58 -1
59 -1
60 -1
61 76
62 77
63 48
64 -1
65 -1
66 -1
67 54
68 -1
69 100
70 101
71 -1
72 87
73 88
74 -1
75 -1
76 103
77 61
78 -1
79 -1
80 112
81 113
82 114
83 104
84 67
85 130
86 -1
87 -1
88 -1
89 -1
90 -1
91 -1
92 70
93 -1
94 78
95 -1
96 -1
97 159
98 -1
99 80
100 -1
101 -1
102 168
103 -1
104 89
105 -1
106 -1
107 177
108 107
