ORIG NEW
1 12
2 11
3 15
4 16
5 17
6 13
7 19
8 21
9 22
10 23
11 18
12 25
13 26
14 27
15 20
16 29
17 30
18 24
19 32
20 33
21 34
22 35
23 36
24 38
25 39
26 -1
27 44
28 42
29 -1
30 47
31 45
32 -1
33 50
34 48
35 -1
36 53
37 51
38 28
39 56
40 57
41 54
42 31
43 60
44 -1
45 62
46 63
47 64
48 -1
49 66
50 67
51 68
52 69
53 41
54 58
55 71
56 40
57 74
58 75
59 72
60 55
61 78
62 79
63 80
64 81
65 59
66 -1
67 76
68 73
69 87
70 -1
71 89
72 84
73 -1
74 92
75 90
76 -1
77 95
78 93
79 -1
80 -1
81 96
82 -1
83 -1
84 99
85 -1
86 -1
87 102
88 -1
89 114
90 106
91 -1
92 -1
93 109
94 77
95 82
96 85
97 126
98 127
99 112
100 86
101 115
