ORIG NEW
1 1
2 2
3 3
4 5
5 -1
6 6
7 7
8 8
9 9
10 11
11 12
12 13
13 14
14 15
15 16
16 17
17 18
18 19
19 20
20 21
21 22
22 23
23 24
24 25
25 26
26 27
27 28
28 29
29 30
30 31
31 32
32 -1
33 34
34 35
35 36
36 37
37 38
38 39
39 40
40 41
41 -1
42 42
43 43
44 44
45 45
46 -1
47 -1
48 47
49 48
50 -1
51 -1
52 50
53 51
54 52
55 53
56 54
57 55
58 56
59 57
60 58
61 59
62 60
63 61
64 -1
65 -1
66 67
67 68
68 -1
69 -1
70 -1
71 -1
72 -1
73 -1
74 -1
75 -1
76 -1
77 74
78 75
79 88
80 76
81 -1
82 70
83 79
84 80
85 -1
86 -1
87 -1
88 -1
89 -1
90 89
91 91
92 86
93 -1
94 -1
95 -1
96 -1
97 93
98 -1
99 -1
100 92
101 77
102 78
103 -1
104 -1
105 90
106 -1
107 -1
108 -1
