oldStart-oldEnd,newStart-newEnd,status

1,1,same
2,2,same
3,3,same
4,4,modified
5,5,modified
6,6,same
7,7,same
8,8,same
10,,deleted
11,,deleted
12,,deleted
13,,deleted
14,,deleted
,10,added
,11,added
,12,added
,14,added
,15,added
,16,added
,19,added
,20,added
,21,added
,22,added
,23,added
,24,added
,25,added
,26,added
,27,added
,28,added
,29,added
,30,added
,31,added
,32,added
,33,added
,34,added
,35,added
,36,added
,37,added
,38,added
,39,added
,40,added
,41,added
,42,added
,43,added
,44,added
,45,added
,46,added
,47,added
,48,added
,49,added
,50,added
,51,added
,52,added
,53,added
,54,added
,55,added
,56,added
,57,added
,58,added
,59,added
,60,added
,61,added
,62,added
,63,added
15,,deleted
16,,deleted
17,,deleted
...
112,,deleted

 ,




